3200 3200 1 3200 3200 3200 1
3200 3200 1 3200 1 3200 1
3200 3200 1 3200 3200 1 1
3200 3200 1 1 1 1 1
3300 3300 11.69 3300 3300 3300 3300
3300 1 3300 1 3300 1 3300
3300 3300 3300 3300 3300 1 1
3300 3300 1 3300 3300 3300 1
3300 3300 1 3300 1 3300 1
3300 3300 1 3300 3300 1 1
3300 3300 1 1 1 1 1
3400 3400 11.73 3400 3400 3400 3400
3400 1 3400 1 3400 1 3400
3400 3400 3400 3400 3400 1 1
3400 3400 1 3400 3400 3400 1
3400 3400 1 3400 1 3400 1
3400 3400 1 3400 3400 1 1
3400 3400 1 1 1 1 1
3500 3500 11.77 3500 3500 3500 3500
3500 1 3500 1 3500 1 3500
3500 3500 3500 3500 3500 1 1
3500 3500 1 3500 3500 3500 1
3500 3500 1 3500 1 3500 1
3500 3500 1 3500 3500 1 1
3500 3500 1 1 1 1 1
3600 3600 11.81 3600 3600 3600 3600
3600 1 3600 1 3600 1 3600
3600 3600 3600 3600 3600 1 1
3600 3600 1 3600 3600 3600 1
3600 3600 1 3600 1 3600 1
3600 3600 1 3600 3600 1 1
3600 3600 1 1 1 1 1
3700 3700 11.85 3700 3700 3700 3700
3700 1 3700 1 3700 1 3700
3700 3700 3700 3700 3700 1 1
3700 3700 1 3700 3700 3700 1
3700 3700 1 3700 1 3700 1
3700 3700 1 3700 3700 1 1
3700 3700 1 1 1 1 1
3800 3800 11.89 3800 3800 3800 3800
3800 1 3800 1 3800 1 3800
3800 3800 3800 3800 3800 1 1
3800 3800 1 3800 3800 3800 1
3800 3800 1 3800 1 3800 1
3800 3800 1 3800 3800 1 1
3800 3800 1 1 1 1 1
3900 3900 11.93 3900 3900 3900 3900
3900 1 3900 1 3900 1 3900
3900 3900 3900 3900 3900 1 1
3900 3900 1 3900 3900 3900 1
3900 3900 1 3900 1 3900 1
3900 3900 1 3900 3900 1 1
3900 3900 1 1 1 1 1
4000 4000 11.97 4000 4000 4000 4000
4000 1 4000 1 4000 1 4000
4000 4000 4000 4000 4000 1 1
4000 4000 1 4000 4000 4000 1
4000 4000 1 4000 1 4000 1
4000 4000 1 4000 4000 1 1
4000 4000 1 1 1 1 1
4100 4100 12.00 4100 4100 4100 4100
4100 1 4100 1 4100 1 4100
4100 4100 4100 4100 4100 1 1
4100 4100 1 4100 4100 4100 1
4100 4100 1 4100 1 4100 1
4100 4100 1 4100 4100 1 1
4100 4100 1 1 1 1 1
4200 4200 12.04 4200 4200 4200 4200
4200 1 4200 1 4200 1 4200
4200 4200 4200 4200 4200 1 1
4200 4200 1 4200 4200 4200 1
4200 4200 1 4200 1 4200 1
4200 4200 1 4200 4200 1 1
4200 4200 1 1 1 1 1
4300 4300 12.07 4300 4300 4300 4300
4300 1 4300 1 4300 1 4300
4300 4300 4300 4300 4300 1 1
4300 4300 1 4300 4300 4300 1
4300 4300 1 4300 1 4300 1
4300 4300 1 4300 4300 1 1
4300 4300 1 1 1 1 1
4400 4400 12.10 4400 4400 4400 4400
4400 1 4400 1 4400 1 4400
4400 4400 4400 4400 4400 1 1
4400 4400 1 4400 4400 4400 1
4400 4400 1 4400 1 4400 1
4400 4400 1 4400 4400 1 1
4400 4400 1 1 1 1 1
4500 4500 12.14 4500 4500 4500 4500
4500 1 4500 1 4500 1 4500
4500 4500 4500 4500 4500 1 1
4500 4500 1 4500 4500 4500 1
4500 4500 1 4500 1 4500 1
4500 4500 1 4500 4500 1 1
4500 4500 1 1 1 1 1
4600 4600 12.17 4600 4600 4600 4600
4600 1 4600 1 4600 1 4600
4600 4600 4600 4600 4600 1 1
4600 4600 1 4600 4600 4600 1
4600 4600 1 4600 1 4600 1
4600 4600 1 4600 4600 1 1
4600 4600 1 1 1 1 1
4700 4700 12.20 4700 4700 4700 4700
4700 1 4700 1 4700 1 4700
4700 4700 4700 4700 4700 1 1
4700 4700 1 4700 4700 4700 1
4700 4700 1 4700 1 4700 1
4700 4700 1 4700 4700 1 1
4700 4700 1 1 1 1 1
4800 4800 12.23 4800 4800 4800 4800
4800 1 4800 1 4800 1 4800
4800 4800 4800 4800 4800 1 1
4800 4800 1 4800 4800 4800 1
4800 4800 1 4800 1 4800 1
4800 4800 1 4800 4800 1 1
4800 4800 1 1 1 1 1
4900 4900 12.26 4900 4900 4900 4900
4900 1 4900 1 4900 1 4900
4900 4900 4900 4900 4900 1 1
4900 4900 1 4900 4900 4900 1
4900 4900 1 4900 1 4900 1
4900 4900 1 4900 4900 1 1
4900 4900 1 1 1 1 1
5000 5000 12.29 5000 5000 5000 5000
5000 1 5000 1 5000 1 5000
5000 5000 5000 5000 5000 1 1
5000 5000 1 5000 5000 5000 1
5000 5000 1 5000 1 5000 1
5000 5000 1 5000 5000 1 1
5000 5000 1 1 1 1 1
